teos,kesto_min,tila,korjattu_levylta,huomiot,tiedostopolku
Aikakone (2002),92,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Aikakone (2002)/Aikakone - Part 01.mkv
Amarcord (1973),119,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Amarcord (1973)/Amarcord - Part 01.mkv
American Beauty (1999),117,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/American Beauty (1999)/American Beauty - Part 01.mkv
Arthur's Dyke (2001),104,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Arthur's Dyke (2001)/Arthur's Dyke - Part 01.mkv
Barfly (1987),96,KORJATTU,KYLLÄ,"2026-08-24 dvdvideo-menetelmällä, 4 raitaa (da/sv/no/fi), käyttäjä vahvisti synkan katsomalla. desync-varmuuskopio: Barfly.desync-bak.mkv",/mnt/terastation/dlna/vids/movies/Barfly (1987)/Barfly.mkv
Barton Fink (1991),112,KORJATTU,KYLLÄ,"2026-08-24 dvdvideo-menetelmällä (dvdbackup-varasuunn. koska levy jumitti suorassa luvussa 1:33), 11 raitaa + size-rivi, käyttäjä vahvisti. 7 ekstraa nimetty.",/mnt/terastation/dlna/vids/movies/Barton Fink (1991)/Barton Fink.mkv
Being John Malkovich (1999),108,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Being John Malkovich (1999)/Being John Malkovich - Part 01.mkv
Big Lebowski (1998),112,KORJATTU,KYLLÄ,"2026-08-24 dvdvideo-menetelmällä, 8 raitaa + size-rivi (paljasti size-ongelman), käyttäjä vahvisti. Ekstrat nimetty.",/mnt/terastation/dlna/vids/movies/Big Lebowski (1998)/Big Lebowski.mkv
Brazil (1985),137,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Brazil (1985)/Brazil - Part 01.mkv
Circus (2000),92,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Circus (2000)/Circus - Part 01.mkv
Contact (1997),144,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Contact (1997)/Contact - Part 01.mkv
Cube (1997),87,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Cube (1997)/Cube.mkv
Cube²- Hypercube (2002),90,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Cube²- Hypercube (2002)/Cube²- Hypercube - Extra 01.mkv
Cube²- Hypercube (2002),90,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Cube²- Hypercube (2002)/Cube²- Hypercube.mkv
Easy Rider (1969),92,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Easy Rider (1969)/Easy Rider.mkv
Eräs rakkaus tarina (1969),114,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Eräs rakkaus tarina (1969)/Eräs rakkaus tarina - Part 01.mkv
Everything You Always Wanted to Know About Sex- (-But Were Afraid to Ask) (1972),84,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Everything You Always Wanted to Know About Sex- (-But Were Afraid to Ask) (1972)/Everything You Always Wanted to Know About Sex- (-But Were Afraid to Ask) - Part 01.mkv
Fargo (1996),94,KORJATTU,KYLLÄ,"2026-08-25 korjaa-tekstitys.sh, 4 raitaa (dan/fin). Video rajattu 408 (kuvasuhde ~Big Lebowski). Käyttäjä ei valittanut = kunnossa.",/mnt/terastation/dlna/vids/movies/Fargo (1996)/Fargo - Part 01.mkv
Freejack (1992),105,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Freejack (1992)/Freejack - Part 01.mkv
Futurama - Bender's Game (2008),84,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Futurama - Bender's Game (2008)/Futurama - Bender's Game - Part 01.mkv
Futurama - Into the Wild Green Yonder (2009),86,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Futurama - Into the Wild Green Yonder (2009)/Futurama - Into the Wild Green Yonder - Part 01.mkv
Futurama - The Beast With a Billion Backs (2008),85,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Futurama - The Beast With a Billion Backs (2008)/Futurama - The Beast With a Billion Backs - Part 01.mkv
Infernal Affairs (2004),97,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Infernal Affairs (2004)/Infernal Affairs - Part 01.mkv
Lipton Cockton in the shadows of Sodoma (1995),79,KORJATTU,KYLLÄ,"2026-08-25 korjaa-tekstitys.sh, 2 raitaa (fin/eng). Suora luku jumitti -> skriptin dvdbackup-varasuunnitelma toimi AUTOMAATTISESTI. Käyttäjä vahvisti (alkuoire oli verkkoruuhkaa, ei tekstitysvika). Rajattu 444, sijainti ok.",/mnt/terastation/dlna/vids/movies/scifi/Lipton Cockton in the shadows of Sodoma (1995)/Lipton Cockton in the shadows of Sodoma - Part 01.mkv
STAR TREK First Contact (1996),106,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/scifi/STAR TREK/STAR TREK First Contact (1996)/STAR TREK First Contact - Part 01.mkv
STAR TREK Generations (1994),113,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/scifi/STAR TREK/STAR TREK Generations (1994)/STAR TREK Generations - Part 01.mkv
STAR TREK Insurrection (1998),99,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/scifi/STAR TREK/STAR TREK Insurrection (1998)/STAR TREK Insurrection - Part 01.mkv
STAR TREK Nemesis (2002),112,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/scifi/STAR TREK/STAR TREK Nemesis (2002)/STAR TREK Nemesis - Part 01.mkv
STAR TREK The Final Frontier (1989),102,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/scifi/STAR TREK/STAR TREK The Final Frontier (1989)/STAR TREK The Final Frontier - Part 01.mkv
STAR TREK The Motion Picture (1979),127,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/scifi/STAR TREK/STAR TREK The Motion Picture (1979)/STAR TREK The Motion Picture - Part 01.mkv
STAR TREK The Search for Spock (1984),101,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/scifi/STAR TREK/STAR TREK The Search for Spock (1984)/STAR TREK The Search for Spock - Part 01.mkv
STAR TREK The Undiscovered Country (1991),105,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/scifi/STAR TREK/STAR TREK The Undiscovered Country (1991)/STAR TREK The Undiscovered Country - Part 01.mkv
STAR TREK The Voyage Home (1986),114,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/scifi/STAR TREK/STAR TREK The Voyage Home (1986)/STAR TREK The Voyage Home - Part 01.mkv
STAR TREK The Wrath of Khan (1982),108,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/scifi/STAR TREK/STAR TREK The Wrath of Khan (1982)/STAR TREK The Wrath of Khan - Part 01.mkv
Stanley Kubrick - Ohjaajan muotokuva (2001),136,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/documentaries/Stanley Kubrick - Ohjaajan muotokuva (2001)/Stanley Kubrick - Ohjaajan muotokuva.mkv
Stranded (2001),95,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/scifi/Stranded (2001)/Stranded.mkv
Tetsuo II (1992),81,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/scifi/Tetsuo II (1992)/Tetsuo II - Part 06.mkv
The Astronaut Farmer (2006),100,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/The Astronaut Farmer (2006)/The Astronaut Farmer - Part 01.mkv
The Astronaut's Wife (1999),105,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/The Astronaut's Wife (1999)/The Astronaut's Wife - Part 03.mkv
The Caveman's Valentine (2001),101,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/The Caveman's Valentine (2001)/The Caveman's Valentine.mkv
The Darjeeling Limited (2007),88,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/The Darjeeling Limited (2007)/The Darjeeling Limited - Part 01.mkv
The Darjeeling Limited (2007),88,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/The Darjeeling Limited (2007)/The Darjeeling Limited - Part 02.mkv
The Dead Zone (1983),99,KORJATTU,KYLLÄ,"2026-08-25 korjaa-tekstitys.sh (skripti), 8 raitaa, suora dvdvideo-irrotus onnistui, käyttäjä vahvisti. Täysikorkuinen 576 -> ei sijaintibugia.",/mnt/terastation/dlna/vids/movies/The Dead Zone (1983)/The Dead Zone - Part 01.mkv
Toisen kerroksen lauluja (2000),95,TARKISTAMATON,EI,,/mnt/terastation/dlna/vids/movies/Toisen kerroksen lauluja (2000)/Toisen kerroksen lauluja - Part 02.mkv
